----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
Accel-Sim-build,,,,,,,,,,,,,,,,,,
\s+L2_cache_stats_breakdown\[GLOBAL_ACC_R\]\[TOTAL_ACCESS\]\s*=\s*(.*),,,,,,,,,,,,,,,,,,
CFG,l1_bw_32f/__tpb_1024___tpsm_1024___blocks_1___ws_32--_Z5l1_bwPmS_PfPKf--0,l1_bw_64f/__tpb_1024___tpsm_1024___blocks_1___ws_32--_Z5l1_bwPmS_PdS0_--0,l1_bw_128/__tpb_1024___tpsm_1024___blocks_1___ws_32--_Z5l1_bwPmS_PfS0_--0,l1_lat/__blocks_1___ws_32--_Z6l1_latPjS_PmS0_--0,l2_bw_32f/__tpb_1024___tpsm_1024___blocks_160___ws_32--_Z5l2_bwPmS_PfS0_j--0,l2_bw_64f/__tpb_1024___tpsm_1024___blocks_160___l2_786432___ws_32--_Z5l2_bwPjS_PdS0_j--0,l2_lat/__tpb_1___tpsm_1___blocks_1___l2_786432___ws_32--_Z10l2_hit_latPjS_PmS0_--0,mem_bw/__tpb_1024___tpsm_1024___blocks_80___l2_1572864___ws_32___memclk_1132___membw_64--_Z6mem_bwPfS_S_S_S_S_PjS0_j--0,mem_lat/__tpb_1024___tpsm_1024___blocks_80___l2_1572864___ws_32___memclk_1132___membw_64--_Z7mem_latPjS_PmS0_j--0,shared_bw/__tpb_1024___tpsm_1024___blocks_1____ws_32--_Z9shared_bwPmS_Pjj--0,shared_lat/__blocks_1____ws_32--_Z10shared_latPjS_Pmj--0,shared_bank_conflicts/1--_Z18transposeCoalescedPfS_ii--0,shared_bank_conflicts/2--_Z24transposeNoBankConflictsPfS_ii--0,MaxIops_int32/__tpb_1024____blocks_1____ws_32--_Z9max_flopsIiEvPjS0_PT_S2_S2_--0,l1_shared_bw/__tpb_1024____blocks_1____ws_32--_Z9shared_bwPjS_S_S_j--0,l1_bw_32f_unroll/__tpb_1024___blocks_1____ws_32--_Z5l1_bwPjS_PfS0_--0,l1_bw_32f_unroll_large/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,AVG
H100-SASS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA

----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
\s+L2_cache_stats_breakdown\[GLOBAL_ACC_W\]\[HIT\]\s*=\s*(.*),,,,,,,,,,,,,,,,,,
CFG,l1_bw_32f/__tpb_1024___tpsm_1024___blocks_1___ws_32--_Z5l1_bwPmS_PfPKf--0,l1_bw_64f/__tpb_1024___tpsm_1024___blocks_1___ws_32--_Z5l1_bwPmS_PdS0_--0,l1_bw_128/__tpb_1024___tpsm_1024___blocks_1___ws_32--_Z5l1_bwPmS_PfS0_--0,l1_lat/__blocks_1___ws_32--_Z6l1_latPjS_PmS0_--0,l2_bw_32f/__tpb_1024___tpsm_1024___blocks_160___ws_32--_Z5l2_bwPmS_PfS0_j--0,l2_bw_64f/__tpb_1024___tpsm_1024___blocks_160___l2_786432___ws_32--_Z5l2_bwPjS_PdS0_j--0,l2_lat/__tpb_1___tpsm_1___blocks_1___l2_786432___ws_32--_Z10l2_hit_latPjS_PmS0_--0,mem_bw/__tpb_1024___tpsm_1024___blocks_80___l2_1572864___ws_32___memclk_1132___membw_64--_Z6mem_bwPfS_S_S_S_S_PjS0_j--0,mem_lat/__tpb_1024___tpsm_1024___blocks_80___l2_1572864___ws_32___memclk_1132___membw_64--_Z7mem_latPjS_PmS0_j--0,shared_bw/__tpb_1024___tpsm_1024___blocks_1____ws_32--_Z9shared_bwPmS_Pjj--0,shared_lat/__blocks_1____ws_32--_Z10shared_latPjS_Pmj--0,shared_bank_conflicts/1--_Z18transposeCoalescedPfS_ii--0,shared_bank_conflicts/2--_Z24transposeNoBankConflictsPfS_ii--0,MaxIops_int32/__tpb_1024____blocks_1____ws_32--_Z9max_flopsIiEvPjS0_PT_S2_S2_--0,l1_shared_bw/__tpb_1024____blocks_1____ws_32--_Z9shared_bwPjS_S_S_j--0,l1_bw_32f_unroll/__tpb_1024___blocks_1____ws_32--_Z5l1_bwPjS_PfS0_--0,l1_bw_32f_unroll_large/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,AVG
H100-SASS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA

----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
\s+L2_cache_stats_breakdown\[GLOBAL_ACC_W\]\[TOTAL_ACCESS\]\s*=\s*(.*),,,,,,,,,,,,,,,,,,
CFG,l1_bw_32f/__tpb_1024___tpsm_1024___blocks_1___ws_32--_Z5l1_bwPmS_PfPKf--0,l1_bw_64f/__tpb_1024___tpsm_1024___blocks_1___ws_32--_Z5l1_bwPmS_PdS0_--0,l1_bw_128/__tpb_1024___tpsm_1024___blocks_1___ws_32--_Z5l1_bwPmS_PfS0_--0,l1_lat/__blocks_1___ws_32--_Z6l1_latPjS_PmS0_--0,l2_bw_32f/__tpb_1024___tpsm_1024___blocks_160___ws_32--_Z5l2_bwPmS_PfS0_j--0,l2_bw_64f/__tpb_1024___tpsm_1024___blocks_160___l2_786432___ws_32--_Z5l2_bwPjS_PdS0_j--0,l2_lat/__tpb_1___tpsm_1___blocks_1___l2_786432___ws_32--_Z10l2_hit_latPjS_PmS0_--0,mem_bw/__tpb_1024___tpsm_1024___blocks_80___l2_1572864___ws_32___memclk_1132___membw_64--_Z6mem_bwPfS_S_S_S_S_PjS0_j--0,mem_lat/__tpb_1024___tpsm_1024___blocks_80___l2_1572864___ws_32___memclk_1132___membw_64--_Z7mem_latPjS_PmS0_j--0,shared_bw/__tpb_1024___tpsm_1024___blocks_1____ws_32--_Z9shared_bwPmS_Pjj--0,shared_lat/__blocks_1____ws_32--_Z10shared_latPjS_Pmj--0,shared_bank_conflicts/1--_Z18transposeCoalescedPfS_ii--0,shared_bank_conflicts/2--_Z24transposeNoBankConflictsPfS_ii--0,MaxIops_int32/__tpb_1024____blocks_1____ws_32--_Z9max_flopsIiEvPjS0_PT_S2_S2_--0,l1_shared_bw/__tpb_1024____blocks_1____ws_32--_Z9shared_bwPjS_S_S_j--0,l1_bw_32f_unroll/__tpb_1024___blocks_1____ws_32--_Z5l1_bwPjS_PfS0_--0,l1_bw_32f_unroll_large/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,AVG
H100-SASS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA

----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_R\]\[TOTAL_ACCESS\]\s*=\s*(.*),,,,,,,,,,,,,,,,,,
CFG,l1_bw_32f/__tpb_1024___tpsm_1024___blocks_1___ws_32--_Z5l1_bwPmS_PfPKf--0,l1_bw_64f/__tpb_1024___tpsm_1024___blocks_1___ws_32--_Z5l1_bwPmS_PdS0_--0,l1_bw_128/__tpb_1024___tpsm_1024___blocks_1___ws_32--_Z5l1_bwPmS_PfS0_--0,l1_lat/__blocks_1___ws_32--_Z6l1_latPjS_PmS0_--0,l2_bw_32f/__tpb_1024___tpsm_1024___blocks_160___ws_32--_Z5l2_bwPmS_PfS0_j--0,l2_bw_64f/__tpb_1024___tpsm_1024___blocks_160___l2_786432___ws_32--_Z5l2_bwPjS_PdS0_j--0,l2_lat/__tpb_1___tpsm_1___blocks_1___l2_786432___ws_32--_Z10l2_hit_latPjS_PmS0_--0,mem_bw/__tpb_1024___tpsm_1024___blocks_80___l2_1572864___ws_32___memclk_1132___membw_64--_Z6mem_bwPfS_S_S_S_S_PjS0_j--0,mem_lat/__tpb_1024___tpsm_1024___blocks_80___l2_1572864___ws_32___memclk_1132___membw_64--_Z7mem_latPjS_PmS0_j--0,shared_bw/__tpb_1024___tpsm_1024___blocks_1____ws_32--_Z9shared_bwPmS_Pjj--0,shared_lat/__blocks_1____ws_32--_Z10shared_latPjS_Pmj--0,shared_bank_conflicts/1--_Z18transposeCoalescedPfS_ii--0,shared_bank_conflicts/2--_Z24transposeNoBankConflictsPfS_ii--0,MaxIops_int32/__tpb_1024____blocks_1____ws_32--_Z9max_flopsIiEvPjS0_PT_S2_S2_--0,l1_shared_bw/__tpb_1024____blocks_1____ws_32--_Z9shared_bwPjS_S_S_j--0,l1_bw_32f_unroll/__tpb_1024___blocks_1____ws_32--_Z5l1_bwPjS_PfS0_--0,l1_bw_32f_unroll_large/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,AVG
H100-SASS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA

----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_R\]\[HIT\]\s*=\s*(.*),,,,,,,,,,,,,,,,,,
CFG,l1_bw_32f/__tpb_1024___tpsm_1024___blocks_1___ws_32--_Z5l1_bwPmS_PfPKf--0,l1_bw_64f/__tpb_1024___tpsm_1024___blocks_1___ws_32--_Z5l1_bwPmS_PdS0_--0,l1_bw_128/__tpb_1024___tpsm_1024___blocks_1___ws_32--_Z5l1_bwPmS_PfS0_--0,l1_lat/__blocks_1___ws_32--_Z6l1_latPjS_PmS0_--0,l2_bw_32f/__tpb_1024___tpsm_1024___blocks_160___ws_32--_Z5l2_bwPmS_PfS0_j--0,l2_bw_64f/__tpb_1024___tpsm_1024___blocks_160___l2_786432___ws_32--_Z5l2_bwPjS_PdS0_j--0,l2_lat/__tpb_1___tpsm_1___blocks_1___l2_786432___ws_32--_Z10l2_hit_latPjS_PmS0_--0,mem_bw/__tpb_1024___tpsm_1024___blocks_80___l2_1572864___ws_32___memclk_1132___membw_64--_Z6mem_bwPfS_S_S_S_S_PjS0_j--0,mem_lat/__tpb_1024___tpsm_1024___blocks_80___l2_1572864___ws_32___memclk_1132___membw_64--_Z7mem_latPjS_PmS0_j--0,shared_bw/__tpb_1024___tpsm_1024___blocks_1____ws_32--_Z9shared_bwPmS_Pjj--0,shared_lat/__blocks_1____ws_32--_Z10shared_latPjS_Pmj--0,shared_bank_conflicts/1--_Z18transposeCoalescedPfS_ii--0,shared_bank_conflicts/2--_Z24transposeNoBankConflictsPfS_ii--0,MaxIops_int32/__tpb_1024____blocks_1____ws_32--_Z9max_flopsIiEvPjS0_PT_S2_S2_--0,l1_shared_bw/__tpb_1024____blocks_1____ws_32--_Z9shared_bwPjS_S_S_j--0,l1_bw_32f_unroll/__tpb_1024___blocks_1____ws_32--_Z5l1_bwPjS_PfS0_--0,l1_bw_32f_unroll_large/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,AVG
H100-SASS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA

----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_W\]\[HIT\]\s*=\s*(.*),,,,,,,,,,,,,,,,,,
CFG,l1_bw_32f/__tpb_1024___tpsm_1024___blocks_1___ws_32--_Z5l1_bwPmS_PfPKf--0,l1_bw_64f/__tpb_1024___tpsm_1024___blocks_1___ws_32--_Z5l1_bwPmS_PdS0_--0,l1_bw_128/__tpb_1024___tpsm_1024___blocks_1___ws_32--_Z5l1_bwPmS_PfS0_--0,l1_lat/__blocks_1___ws_32--_Z6l1_latPjS_PmS0_--0,l2_bw_32f/__tpb_1024___tpsm_1024___blocks_160___ws_32--_Z5l2_bwPmS_PfS0_j--0,l2_bw_64f/__tpb_1024___tpsm_1024___blocks_160___l2_786432___ws_32--_Z5l2_bwPjS_PdS0_j--0,l2_lat/__tpb_1___tpsm_1___blocks_1___l2_786432___ws_32--_Z10l2_hit_latPjS_PmS0_--0,mem_bw/__tpb_1024___tpsm_1024___blocks_80___l2_1572864___ws_32___memclk_1132___membw_64--_Z6mem_bwPfS_S_S_S_S_PjS0_j--0,mem_lat/__tpb_1024___tpsm_1024___blocks_80___l2_1572864___ws_32___memclk_1132___membw_64--_Z7mem_latPjS_PmS0_j--0,shared_bw/__tpb_1024___tpsm_1024___blocks_1____ws_32--_Z9shared_bwPmS_Pjj--0,shared_lat/__blocks_1____ws_32--_Z10shared_latPjS_Pmj--0,shared_bank_conflicts/1--_Z18transposeCoalescedPfS_ii--0,shared_bank_conflicts/2--_Z24transposeNoBankConflictsPfS_ii--0,MaxIops_int32/__tpb_1024____blocks_1____ws_32--_Z9max_flopsIiEvPjS0_PT_S2_S2_--0,l1_shared_bw/__tpb_1024____blocks_1____ws_32--_Z9shared_bwPjS_S_S_j--0,l1_bw_32f_unroll/__tpb_1024___blocks_1____ws_32--_Z5l1_bwPjS_PfS0_--0,l1_bw_32f_unroll_large/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,AVG
H100-SASS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA

----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_W\]\[TOTAL_ACCESS\]\s*=\s*(.*),,,,,,,,,,,,,,,,,,
